d-step 1 epoch 1 : .......... average_loss = 0.4060, train_acc = 0.8224, val_acc = 0.0198
d-step 1 epoch 2 : .......... average_loss = 0.3669, train_acc = 0.8426, val_acc = 0.0198
d-step 1 epoch 3 : .......... average_loss = 0.3582, train_acc = 0.8473, val_acc = 0.0198
d-step 2 epoch 1 : .......... average_loss = 0.3564, train_acc = 0.8477, val_acc = 0.0198
d-step 2 epoch 2 : .......... average_loss = 0.3491, train_acc = 0.8520, val_acc = 0.0198
d-step 2 epoch 3 : .......... average_loss = 0.3444, train_acc = 0.8551, val_acc = 0.0198
d-step 3 epoch 1 : .......... average_loss = 0.3348, train_acc = 0.8580, val_acc = 0.0198
d-step 3 epoch 2 : .......... average_loss = 0.3301, train_acc = 0.8603, val_acc = 0.0198
d-step 3 epoch 3 : .......... average_loss = 0.3269, train_acc = 0.8635, val_acc = 0.0198
d-step 4 epoch 1 : .......... average_loss = 0.3228, train_acc = 0.8647, val_acc = 0.0198
d-step 4 epoch 2 : .......... average_loss = 0.3180, train_acc = 0.8676, val_acc = 0.0198
d-step 4 epoch 3 : .......... average_loss = 0.3140, train_acc = 0.8680, val_acc = 0.0198
d-step 5 epoch 1 : .......... average_loss = 0.3239, train_acc = 0.8617, val_acc = 0.0198
d-step 5 epoch 2 : .......... average_loss = 0.3198, train_acc = 0.8644, val_acc = 0.0198
d-step 5 epoch 3 : .......... average_loss = 0.3157, train_acc = 0.8629, val_acc = 0.0198
d-step 6 epoch 1 : .......... average_loss = 0.3138, train_acc = 0.8661, val_acc = 0.0198
d-step 6 epoch 2 : .......... average_loss = 0.3109, train_acc = 0.8701, val_acc = 0.0198
d-step 6 epoch 3 : .......... average_loss = 0.3067, train_acc = 0.8691, val_acc = 0.0198
d-step 7 epoch 1 : .......... average_loss = 0.3062, train_acc = 0.8708, val_acc = 0.0198
d-step 7 epoch 2 : .......... average_loss = 0.3025, train_acc = 0.8729, val_acc = 0.0198
d-step 7 epoch 3 : .......... average_loss = 0.2994, train_acc = 0.8734, val_acc = 0.0198
d-step 8 epoch 1 : .......... average_loss = 0.2962, train_acc = 0.8756, val_acc = 0.0198
d-step 8 epoch 2 : .......... average_loss = 0.2915, train_acc = 0.8785, val_acc = 0.0198
d-step 8 epoch 3 : .......... average_loss = 0.2888, train_acc = 0.8786, val_acc = 0.0198
d-step 9 epoch 1 : .......... average_loss = 0.2917, train_acc = 0.8779, val_acc = 0.0198
d-step 9 epoch 2 : .......... average_loss = 0.2887, train_acc = 0.8792, val_acc = 0.0198
d-step 9 epoch 3 : .......... average_loss = 0.2844, train_acc = 0.8812, val_acc = 0.0198
d-step 10 epoch 1 : .......... average_loss = 0.2898, train_acc = 0.8792, val_acc = 0.0198
d-step 10 epoch 2 : .......... average_loss = 0.2835, train_acc = 0.8818, val_acc = 0.0198
d-step 10 epoch 3 : .......... average_loss = 0.2805, train_acc = 0.8838, val_acc = 0.0198
d-step 11 epoch 1 : .......... average_loss = 0.2821, train_acc = 0.8821, val_acc = 0.0198
d-step 11 epoch 2 : .......... average_loss = 0.2772, train_acc = 0.8844, val_acc = 0.0198
d-step 11 epoch 3 : .......... average_loss = 0.2727, train_acc = 0.8869, val_acc = 0.0198
d-step 12 epoch 1 : .......... average_loss = 0.2786, train_acc = 0.8830, val_acc = 0.0198
d-step 12 epoch 2 : .......... average_loss = 0.2733, train_acc = 0.8873, val_acc = 0.0198
d-step 12 epoch 3 : .......... average_loss = 0.2712, train_acc = 0.8880, val_acc = 0.0198
d-step 13 epoch 1 : .......... average_loss = 0.2697, train_acc = 0.8879, val_acc = 0.0198
d-step 13 epoch 2 : .......... average_loss = 0.2651, train_acc = 0.8915, val_acc = 0.0198
d-step 13 epoch 3 : .......... average_loss = 0.2630, train_acc = 0.8913, val_acc = 0.0198
d-step 14 epoch 1 : .......... average_loss = 0.2694, train_acc = 0.8888, val_acc = 0.0198
d-step 14 epoch 2 : .......... average_loss = 0.2657, train_acc = 0.8929, val_acc = 0.0198
d-step 14 epoch 3 : .......... average_loss = 0.2610, train_acc = 0.8925, val_acc = 0.0198
d-step 15 epoch 1 : .......... average_loss = 0.2666, train_acc = 0.8908, val_acc = 0.0198
d-step 15 epoch 2 : .......... average_loss = 0.2623, train_acc = 0.8925, val_acc = 0.0198
d-step 15 epoch 3 : .......... average_loss = 0.2587, train_acc = 0.8925, val_acc = 0.0198
d-step 16 epoch 1 : .......... average_loss = 0.2586, train_acc = 0.8934, val_acc = 0.0198
d-step 16 epoch 2 : .......... average_loss = 0.2544, train_acc = 0.8944, val_acc = 0.0198
d-step 16 epoch 3 : .......... average_loss = 0.2512, train_acc = 0.8963, val_acc = 0.0198
d-step 17 epoch 1 : .......... average_loss = 0.2574, train_acc = 0.8935, val_acc = 0.0198
d-step 17 epoch 2 : .......... average_loss = 0.2510, train_acc = 0.8957, val_acc = 0.0198
d-step 17 epoch 3 : .......... average_loss = 0.2489, train_acc = 0.8971, val_acc = 0.0198
d-step 18 epoch 1 : .......... average_loss = 0.2493, train_acc = 0.8956, val_acc = 0.0198
d-step 18 epoch 2 : .......... average_loss = 0.2474, train_acc = 0.8964, val_acc = 0.0198
d-step 18 epoch 3 : .......... average_loss = 0.2441, train_acc = 0.8980, val_acc = 0.0198
d-step 19 epoch 1 : .......... average_loss = 0.2449, train_acc = 0.8997, val_acc = 0.0198
d-step 19 epoch 2 : .......... average_loss = 0.2411, train_acc = 0.9025, val_acc = 0.0198
d-step 19 epoch 3 : .......... average_loss = 0.2379, train_acc = 0.9049, val_acc = 0.0198
d-step 20 epoch 1 : .......... average_loss = 0.2420, train_acc = 0.8993, val_acc = 0.0198
d-step 20 epoch 2 : .......... average_loss = 0.2375, train_acc = 0.9030, val_acc = 0.0198
d-step 20 epoch 3 : .......... average_loss = 0.2335, train_acc = 0.9045, val_acc = 0.0198
d-step 21 epoch 1 : .......... average_loss = 0.2392, train_acc = 0.9013, val_acc = 0.0198
d-step 21 epoch 2 : .......... average_loss = 0.2358, train_acc = 0.9011, val_acc = 0.0198
d-step 21 epoch 3 : .......... average_loss = 0.2315, train_acc = 0.9041, val_acc = 0.0198
d-step 22 epoch 1 : .......... average_loss = 0.2372, train_acc = 0.9031, val_acc = 0.0198
d-step 22 epoch 2 : .......... average_loss = 0.2311, train_acc = 0.9065, val_acc = 0.0198
d-step 22 epoch 3 : .......... average_loss = 0.2292, train_acc = 0.9076, val_acc = 0.0198
d-step 23 epoch 1 : .......... average_loss = 0.2365, train_acc = 0.9025, val_acc = 0.0198
d-step 23 epoch 2 : .......... average_loss = 0.2326, train_acc = 0.9032, val_acc = 0.0198
d-step 23 epoch 3 : .......... average_loss = 0.2297, train_acc = 0.9056, val_acc = 0.0198
d-step 24 epoch 1 : .......... average_loss = 0.2295, train_acc = 0.9046, val_acc = 0.0198
d-step 24 epoch 2 : .......... average_loss = 0.2247, train_acc = 0.9086, val_acc = 0.0198
d-step 24 epoch 3 : .......... average_loss = 0.2230, train_acc = 0.9106, val_acc = 0.0198
d-step 25 epoch 1 : .......... average_loss = 0.2266, train_acc = 0.9093, val_acc = 0.0198
d-step 25 epoch 2 : .......... average_loss = 0.2247, train_acc = 0.9096, val_acc = 0.0198
d-step 25 epoch 3 : .......... average_loss = 0.2194, train_acc = 0.9118, val_acc = 0.0198
d-step 26 epoch 1 : .......... average_loss = 0.2214, train_acc = 0.9120, val_acc = 0.0198
d-step 26 epoch 2 : .......... average_loss = 0.2167, train_acc = 0.9150, val_acc = 0.0198
d-step 26 epoch 3 : .......... average_loss = 0.2139, train_acc = 0.9139, val_acc = 0.0198
d-step 27 epoch 1 : .......... average_loss = 0.2167, train_acc = 0.9116, val_acc = 0.0198
d-step 27 epoch 2 : .......... average_loss = 0.2121, train_acc = 0.9153, val_acc = 0.0198
d-step 27 epoch 3 : .......... average_loss = 0.2105, train_acc = 0.9147, val_acc = 0.0198
d-step 28 epoch 1 : .......... average_loss = 0.2134, train_acc = 0.9142, val_acc = 0.0198
d-step 28 epoch 2 : .......... average_loss = 0.2103, train_acc = 0.9165, val_acc = 0.0198
d-step 28 epoch 3 : .......... average_loss = 0.2040, train_acc = 0.9197, val_acc = 0.0198
d-step 29 epoch 1 : .......... average_loss = 0.2199, train_acc = 0.9102, val_acc = 0.0198
d-step 29 epoch 2 : .......... average_loss = 0.2149, train_acc = 0.9119, val_acc = 0.0198
d-step 29 epoch 3 : .......... average_loss = 0.2111, train_acc = 0.9142, val_acc = 0.0198
d-step 30 epoch 1 : .......... average_loss = 0.2167, train_acc = 0.9119, val_acc = 0.0198
d-step 30 epoch 2 : .......... average_loss = 0.2117, train_acc = 0.9150, val_acc = 0.0198
d-step 30 epoch 3 : .......... average_loss = 0.2078, train_acc = 0.9158, val_acc = 0.0198
d-step 31 epoch 1 : .......... average_loss = 0.2089, train_acc = 0.9164, val_acc = 0.0198
d-step 31 epoch 2 : .......... average_loss = 0.2061, train_acc = 0.9180, val_acc = 0.0198
d-step 31 epoch 3 : .......... average_loss = 0.2029, train_acc = 0.9202, val_acc = 0.0198
d-step 32 epoch 1 : .......... average_loss = 0.2016, train_acc = 0.9202, val_acc = 0.0198
d-step 32 epoch 2 : .......... average_loss = 0.1976, train_acc = 0.9204, val_acc = 0.0198
d-step 32 epoch 3 : .......... average_loss = 0.1941, train_acc = 0.9235, val_acc = 0.0198
d-step 33 epoch 1 : .......... average_loss = 0.2058, train_acc = 0.9162, val_acc = 0.0198
d-step 33 epoch 2 : .......... average_loss = 0.1988, train_acc = 0.9197, val_acc = 0.0198
d-step 33 epoch 3 : .......... average_loss = 0.1948, train_acc = 0.9215, val_acc = 0.0198
d-step 34 epoch 1 : .......... average_loss = 0.1963, train_acc = 0.9220, val_acc = 0.0198
d-step 34 epoch 2 : .......... average_loss = 0.1913, train_acc = 0.9237, val_acc = 0.0198
d-step 34 epoch 3 : .......... average_loss = 0.1872, train_acc = 0.9269, val_acc = 0.0198
d-step 35 epoch 1 : .......... average_loss = 0.1961, train_acc = 0.9239, val_acc = 0.0198
d-step 35 epoch 2 : .......... average_loss = 0.1896, train_acc = 0.9261, val_acc = 0.0198
d-step 35 epoch 3 : .......... average_loss = 0.1884, train_acc = 0.9260, val_acc = 0.0198
d-step 36 epoch 1 : .......... average_loss = 0.1980, train_acc = 0.9210, val_acc = 0.0198
d-step 36 epoch 2 : .......... average_loss = 0.1946, train_acc = 0.9225, val_acc = 0.0198
d-step 36 epoch 3 : .......... average_loss = 0.1931, train_acc = 0.9242, val_acc = 0.0198
d-step 37 epoch 1 : .......... average_loss = 0.1958, train_acc = 0.9201, val_acc = 0.0198
d-step 37 epoch 2 : .......... average_loss = 0.1919, train_acc = 0.9223, val_acc = 0.0198
d-step 37 epoch 3 : .......... average_loss = 0.1863, train_acc = 0.9236, val_acc = 0.0198
d-step 38 epoch 1 : .......... average_loss = 0.1943, train_acc = 0.9225, val_acc = 0.0198
d-step 38 epoch 2 : .......... average_loss = 0.1886, train_acc = 0.9248, val_acc = 0.0198
d-step 38 epoch 3 : .......... average_loss = 0.1872, train_acc = 0.9248, val_acc = 0.0198
d-step 39 epoch 1 : .......... average_loss = 0.1995, train_acc = 0.9210, val_acc = 0.0198
d-step 39 epoch 2 : .......... average_loss = 0.1934, train_acc = 0.9219, val_acc = 0.0198
d-step 39 epoch 3 : .......... average_loss = 0.1926, train_acc = 0.9233, val_acc = 0.0198
d-step 40 epoch 1 : .......... average_loss = 0.1876, train_acc = 0.9259, val_acc = 0.0198
d-step 40 epoch 2 : .......... average_loss = 0.1831, train_acc = 0.9287, val_acc = 0.0198
d-step 40 epoch 3 : .......... average_loss = 0.1856, train_acc = 0.9281, val_acc = 0.0198
d-step 41 epoch 1 : .......... average_loss = 0.1869, train_acc = 0.9253, val_acc = 0.0198
d-step 41 epoch 2 : .......... average_loss = 0.1825, train_acc = 0.9287, val_acc = 0.0198
